question_id,job_role,category,skill,difficulty,question,ideal_answer,keywords,evaluation_criteria,follow_up_questions,expected_duration,weight,tags
SE001,Software Engineer,Behavioral,Self-Introduction & Communication,Easy,Tell me about yourself.,"A strong candidate should provide a structured summary of their educational background, professional experience, technical skills, major projects, and career goals. Example: ""I am a software engineer with experience in designing, developing, and maintaining software applications. I have worked with technologies such as Java, Python, JavaScript, and SQL. In my previous role, I developed backend APIs and collaborated with cross-functional teams to deliver scalable solutions. One project I am particularly proud of involved optimizing a database system, which reduced query execution time by 40%. I enjoy solving complex technical problems and continuously learning new technologies. Currently, I am looking for opportunities where I can contribute to impactful products while further developing my software engineering and system design skills.""",background|experience|technical skills|projects|career goals|communication,Presents information in a clear structure|Highlights relevant technical experience|Demonstrates confidence and communication skills|Connects past experience with the role|Avoids irrelevant personal details,What technologies are you most comfortable with?|Why are you interested in this role?,2-3 minutes,5,"Behavioral, Introduction"
SE002,Software Engineer,Technical Fundamentals,OOP,Medium,What is Object-Oriented Programming (OOP)?,"OOP is a programming paradigm that organizes software around objects rather than functions. Objects contain both data (attributes) and behavior (methods). The four main principles are: Encapsulation - bundling data and methods together and restricting direct access (e.g., a bank account class hides its balance and provides deposit()/withdraw() methods). Inheritance - one class acquires properties and behaviors from another (e.g., Vehicle inherited by Car and Motorcycle). Polymorphism - objects of different types are treated through a common interface (different classes implement the same method differently). Abstraction - hides implementation details and exposes only essential functionality (e.g., driving a car without understanding the engine).",encapsulation|inheritance|polymorphism|abstraction|object|class|OOP,Correctly defines OOP|Explains all four principles|Provides practical examples|Demonstrates understanding beyond memorized definitions,Can you give a real-world example of polymorphism from a project you worked on?|What is the difference between method overloading and overriding?,4-5 minutes,6,"OOP, Fundamentals"
SE003,Software Engineer,Data Structures,Arrays & Linked Lists,Medium,What is the difference between an Array and a Linked List?,"Arrays and linked lists are both linear data structures, but differ in memory organization and performance. Arrays are stored in contiguous memory, support direct O(1) indexed access, often have a fixed size, and offer better cache performance, but insertion/deletion can be expensive due to shifting elements. Linked lists consist of nodes connected via pointers, are not stored contiguously, support efficient O(1) insertion/deletion when the node location is known, and have dynamic size, but require O(n) traversal for access and have poor cache locality. Complexity comparison: Access O(1) vs O(n); Search O(n) vs O(n); Insert at beginning O(n) vs O(1); Delete at beginning O(n) vs O(1).",array|linked list|memory|contiguous|pointer|time complexity|node,Explains memory organization|Compares time complexities|Discusses trade-offs|Mentions practical use cases,When would you choose a linked list over an array?|What is a doubly linked list?,4-5 minutes,6,Data Structures
SE004,Software Engineer,Databases,SQL vs NoSQL,Hard,What is the difference between SQL and NoSQL databases?,"SQL databases are relational databases that store data in tables with predefined schemas (e.g., MySQL, PostgreSQL, SQL Server). NoSQL databases are non-relational and designed for flexibility and scalability (e.g., MongoDB, Cassandra, DynamoDB). SQL characteristics: structured schema, ACID compliance, strong consistency, supports joins and complex queries. NoSQL characteristics: flexible schema, horizontal scalability, high availability, better suited for large distributed systems. Use SQL for financial systems, banking applications, and ERP systems. Use NoSQL for social media applications, real-time analytics, and large-scale distributed platforms.",SQL|NoSQL|relational|schema|ACID|scalability|MongoDB|consistency,Understands relational vs non-relational models|Explains scalability differences|Mentions consistency considerations|Provides real-world examples,What does ACID stand for?|How would you decide between SQL and NoSQL for a new project?,5-6 minutes,7,Databases
SE005,Software Engineer,Backend Development,REST APIs,Hard,Explain REST API.,"REST (Representational State Transfer) is an architectural style for designing web services, allowing communication between clients and servers through HTTP. Common HTTP methods: GET (retrieve data), POST (create data), PUT (update an entire resource), PATCH (partially update a resource), DELETE (remove a resource). REST principles: client-server architecture, stateless communication, uniform interface, cacheability, and layered system. Example: GET /users/5 returns a JSON object like {""id"": 5, ""name"": ""Ahmed""}. Benefits include simplicity, scalability, platform independence, and easy integration.",REST|HTTP methods|stateless|API|GET|POST|endpoint|JSON,Understands HTTP methods|Explains statelessness|Describes API endpoints|Gives practical examples,What is the difference between PUT and PATCH?|What status codes would you return for a failed request?,5-6 minutes,7,"Backend, APIs"
SE006,Software Engineer,Software Development Process,Version Control,Medium,What is Git and why is it important?,"Git is a distributed version control system used to track changes in source code and facilitate collaboration among developers. Key features include version tracking, branching (working on features independently), merging (integrating changes into the main codebase), and collaboration (multiple developers contributing simultaneously). Common commands: git clone, git add, git commit, git push, git pull, git merge, git branch. Importance: prevents code loss, enables teamwork, supports rollback to previous versions, and improves release management.",Git|version control|branching|merging|commit|collaboration,Explains version control clearly|Demonstrates understanding of branches and commits|Mentions collaboration benefits,How do you resolve a merge conflict?|What is the difference between git merge and git rebase?,3-4 minutes,5,"Git, Version Control"
SE007,Software Engineer,Concurrency,Multithreading,Hard,What is Multithreading?,"Multithreading is the ability of a program to execute multiple threads concurrently within the same process. A thread is the smallest unit of execution within a process. Benefits include improved responsiveness, better resource utilization, and increased throughput (e.g., a web server handling multiple client requests simultaneously using separate threads). Challenges include race conditions (multiple threads accessing shared data simultaneously), deadlocks (threads waiting indefinitely for resources), and synchronization issues. Solutions include mutexes, semaphores, locks, and thread-safe data structures.",thread|concurrency|race condition|deadlock|mutex|semaphore|synchronization,Defines threads correctly|Explains advantages|Discusses concurrency risks|Mentions synchronization techniques,What is the difference between a process and a thread?|What is the difference between concurrency and parallelism?,5-6 minutes,8,"Concurrency, Advanced"
SE008,Software Engineer,Software Design,Design Patterns,Hard,What is a Design Pattern?,"Design patterns are proven, reusable solutions to commonly occurring software design problems. They are not complete implementations but templates that guide development. Common patterns: Singleton (ensures only one instance of a class exists, e.g., a database connection manager), Factory (creates objects without specifying exact classes, e.g., creating different notification services), Observer (allows objects to subscribe to events, e.g., notification systems), and Strategy (allows algorithms to be selected dynamically, e.g., different payment methods). Benefits include reusability, maintainability, scalability, and better communication among developers.",design pattern|Singleton|Factory|Observer|Strategy|reusability,Understands purpose of design patterns|Explains at least two patterns correctly|Discusses practical applications,Can you describe a situation where you used a design pattern?|What are the downsides of overusing design patterns?,5-6 minutes,7,Design Patterns
SE009,Software Engineer,Problem Solving,Performance Optimization,Hard,How would you optimize a slow application?,"Optimization should begin with measurement rather than assumptions. Step 1: Identify bottlenecks using profiling tools (CPU profiling, memory profiling, database monitoring). Step 2: Analyze database performance for missing indexes, slow queries, excessive joins, and N+1 query issues. Step 3: Improve algorithms (e.g., replace O(n^2) with O(n log n)). Step 4: Implement caching (Redis, Memcached, application caching). Step 5: Reduce network overhead by compressing responses, minimizing API calls, and using pagination. Step 6: Perform load testing to validate improvements under realistic workloads.",profiling|bottleneck|database indexing|caching|algorithm optimization|load testing,Follows a systematic process|Avoids guessing|Mentions profiling tools|Considers multiple optimization layers,Can you walk me through a specific performance issue you diagnosed and fixed?|How do you decide what to optimize first when resources are limited?,6-8 minutes,9,"Performance, Optimization"
SE010,Software Engineer,Behavioral,Problem Solving,Hard,Describe a challenging bug you solved.,"A strong answer follows the STAR framework. Situation: A production service was intermittently crashing during peak traffic. Task: Identify the root cause and restore stability. Action: Analyzed logs, monitored system metrics, reproduced the issue in staging, found a race condition caused by concurrent updates, and implemented proper synchronization with added tests. Result: Eliminated crashes, improved system reliability, and significantly reduced production incidents.",STAR|debugging|root cause|race condition|production incident,Uses a structured approach|Demonstrates debugging methodology|Shows ownership|Quantifies results where possible,What tools did you use to diagnose the issue?|How did you prevent similar bugs going forward?,4-5 minutes,6,"Debugging, Behavioral"
